"first_name","last_name","company_name","address","city","province","postal","phone1","phone2","email","web"
"Carlene","Kana","Oregon Cherry Growers Inc","541 N 88th Ave","Brantford","ON","N3T 2H4","519-930-5055","519-842-4775","ckana@kana.com","http://www.oregoncherrygrowersinc.com"
"Adria","Gilliam","Brokers Marketplace","60 15th Ave","Hamilton","ON","L8N 2V6","905-563-9396","905-791-6993","adria_gilliam@cox.net","http://www.brokersmarketplace.com"
"Paola","Perkins","M K Goulding And Associates","3951 Seaway Dr","Grande Prairie","AB","T8V 4G4","780-573-8903","780-404-4349","paola.perkins@aol.com","http://www.mkgouldingandassociates.com"
"Elina","Maury","Hobson Printing Co","2097 N Stonestreet Ave","North York","ON","M6M 3B1","416-582-4379","416-549-4416","elina.maury@hotmail.com","http://www.hobsonprintingco.com"
"Emile","Dorio","Olson, Waldine H Esq","264 Jefferson Hwy #83","Saint-Bruno","QC","J3V 4R8","450-529-3773","450-775-4103","edorio@cox.net","http://www.olsonwaldinehesq.com"
"Zoila","Lannigan","Fox Chase Federal Savings Bank","40 N Dean St","York","ON","M6N 3Z2","416-322-9207","416-344-1276","zlannigan@aol.com","http://www.foxchasefederalsavingsbank.com"
"Yong","Yestramski","Kraft Foodservice Inc","365 Zebra Pl","Brantford","ON","N3R 3C6","519-344-3979","519-322-6001","yong_yestramski@aol.com","http://www.kraftfoodserviceinc.com"
"Leontine","Stalma","Comprehensive Environ Svc Inc","859 Franquette Ave","Simcoe","ON","N3Y 5H1","519-641-7145","519-623-8354","lstalma@stalma.org","http://www.comprehensiveenvironsvcinc.com"
"Troy","Dicus","Quick Turn Circuits Inc","58 Calle Arroyo","Trenton","ON","K8V 3Z2","613-938-7999","613-442-6727","troy_dicus@yahoo.com","http://www.quickturncircuitsinc.com"
"Annamaria","Vanhuss","Call, Dell R","8348 1st Ave W","Dundas","ON","L9H 2C3","905-495-3301","905-988-1388","annamaria.vanhuss@cox.net","http://www.calldellr.com"
"Dorothea","Lowther","Herline, Georgia","2763 Fort Campbell Blvd #7554","Sudbury","ON","P3E 2W9","705-793-4986","705-509-4817","dorothea_lowther@yahoo.com","http://www.herlinegeorgia.com"
"Marion","Letran","Snyder, Daniel Esq","5670 Leonis Blvd","Gatineau","QC","J8Y 5Z4","819-966-7240","819-730-7626","marion_letran@cox.net","http://www.snyderdanielesq.com"
"Avery","Masso","Far Western Trophy & Awards","6 Central Ave #664","Amherst","NS","B4H 1N1","902-588-8947","902-665-5755","avery.masso@hotmail.com","http://www.farwesterntrophyawards.com"
"Trinidad","Bredernitz","Tmr The Music Room","75 N Washington Ave","Lasalle","QC","H8N 1S9","514-561-2312","514-780-9059","trinidad@yahoo.com","http://www.tmrthemusicroom.com"
"Herminia","Penso","Jurgemeyer Frey & Haufe","880 W South Water Market","Fort McMurray","AB","T9H 3A8","780-740-5294","780-702-4324","hpenso@cox.net","http://www.jurgemeyerfreyhaufe.com"
"Val","Bigaud","Mpsi Systems Inc","42 N 16th St #620","Montreal","QC","H2C 3A1","514-726-2573","514-233-5869","val_bigaud@aol.com","http://www.mpsisystemsinc.com"
"Renay","Oviedo","Wanek, Jerrold Esq","873 E Cumberland St","North York","ON","M6B 3Y3","416-336-6767","416-797-3846","renay.oviedo@oviedo.com","http://www.wanekjerroldesq.com"
"Buck","Kotow","Black Drill Co Inc","863 Mcgilchrist St Se","Thunder Bay","ON","P7E 2H1","807-668-2676","807-348-1562","buck_kotow@aol.com","http://www.blackdrillcoinc.com"
"Toi","Rollison","Armored Transport Of Ca Inc","2 S Church St","Terrebonne","QC","J6W 1M9","450-714-2875","450-600-2803","toi_rollison@rollison.com","http://www.armoredtransportofcainc.com"
"Shanice","Pennel","Firm Security Systems Inc","31 N Canal St","Kingston","ON","K7L 2Y7","613-850-3405","613-270-1965","shanice.pennel@pennel.org","http://www.firmsecuritysystemsinc.com"
"Oliva","Ramerez","Summit Dynamics","8688 Manning Blvd #547","Calgary","AB","T2C 1W4","403-690-1059","403-350-8194","oramerez@yahoo.com","http://www.summitdynamics.com"
"Tamera","Crocker","Cooper & Kelley","652 Pacific Hwy","Edmonton","AB","T5C 3M1","780-833-7024","780-277-9997","tcrocker@cox.net","http://www.cooperkelley.com"
"Melvin","Rather","Milt Charno & Assoc Inc","8794 34th Ave","Drummondville","QC","J2B 3S8","819-418-3496","819-482-5865","melvin.rather@aol.com","http://www.miltcharnoassocinc.com"
"Essie","Fitzke","Artistic Gifts Inc","9 3rd St","Welshpool","NB","E5E 1G8","506-785-2719","506-849-4017","essie_fitzke@fitzke.org","http://www.artisticgiftsinc.com"
"Shay","Knieper","Raby, Paul Ed","571 Maiden Ln #7","Brossard","QC","J4X 1J9","450-806-3050","450-206-4846","shay.knieper@gmail.com","http://www.rabypauled.com"
"Ruby","Sensibaugh","Qualex Inc","637 Wright Rd","Coquitlam","BC","V3K 2P4","604-553-2468","604-317-7478","ruby@sensibaugh.com","http://www.qualexinc.com"
"Caren","Doscher","Personal Christianity Chapel","1770 Mission Ave","Calgary","AB","T3H 2S3","403-344-3614","403-519-4344","cdoscher@doscher.org","http://www.personalchristianitychapel.com"
"Frank","Amend","Preferred Service Group Inc","2583 Lincoln Blvd","Cambridge","ON","N1S 1A7","519-823-9369","519-225-9969","frank@yahoo.com","http://www.preferredservicegroupinc.com"
"Lasandra","Frisinger","Jmr Marketing & Graphics Corp","1 Highway 71 S","Abbotsford","BC","V2S 2G5","604-210-7413","604-366-8983","lfrisinger@cox.net","http://www.jmrmarketinggraphicscorp.com"
"Sommer","Frere","Bliss & Nyitray Inc","1309 Pitney Rd","Saint-Hubert","QC","J3Y 4R3","450-777-9643","450-890-4500","sfrere@yahoo.com","http://www.blissnyitrayinc.com"
"Gretchen","Mckeon","Nendels Inn/renton","809 W Bayshore Rd","Trail","BC","V1R 4Y2","250-617-7197","250-339-8016","gretchen.mckeon@gmail.com","http://www.nendelsinnrenton.com"
"Providencia","Marien","Pond, William S Md","83 Magnavox Way","Ottawa","ON","K2C 2V1","613-256-5226","613-926-6903","providencia.marien@marien.com","http://www.pondwilliamsmd.com"
"Lindsey","Arnoldi","Western States Petroleum Inc","87 Via Contenta","West Kelowna","BC","V1Z 2J2","250-387-4636","250-720-2097","larnoldi@arnoldi.com","http://www.westernstatespetroleuminc.com"
"Romana","Riesgraf","Sparta Engrg & Land Co Inc","986 Whitaker Way","Moncton","NB","E1A 6P3","506-310-3728","506-411-4545","romana_riesgraf@hotmail.com","http://www.spartaengrglandcoinc.com"
"Nobuko","Logwood","Ads Inc","612 York St","Sarnia","ON","N7V 3X4","519-739-4745","519-909-5200","nobuko.logwood@cox.net","http://www.adsinc.com"
"Shawnna","Arredondo","Ef International Lang Schls","4 N Brand Blvd","Orleans","ON","K4A 0V9","613-996-1062","613-366-7946","sarredondo@arredondo.com","http://www.efinternationallangschls.com"
"Doyle","Hathcox","Women For Meaningful Summits","48 Market St","Prince George","BC","V2M 1K4","250-227-4140","250-403-8074","doyle.hathcox@aol.com","http://www.womenformeaningfulsummits.com"
"Jacinta","Deppen","Orourke, Denis M Esq","1458 W Henry St","Nelson","BC","V1L 1A7","250-203-5054","250-989-4833","jdeppen@cox.net","http://www.orourkedenismesq.com"
